Designator,Mid X,Mid Y,Rotation,Layer
C14,116.9,-42,-90,top
C15,121.412,-37.719,0,top
C16,50.7,-53.6,-90,top
C17,100.7,-39.7,180,top
C18,66.4,-67.2,0,top
C19,117.3,-37,0,top
C20,100.7,-40.8,180,top
C21,103,-36,180,top
C22,117.3,-38.2,0,top
C23,103,-35,180,top
C24,102.5,-46.25,-90,top
C25,115.1,-44.82,-90,top
C26,105.8,-33.2,90,top
C27,112.25,-31,90,top
C28,104.6,-33.2,90,top
C29,53.25,-56.02,-90,top
C30,90.551,-38.354,90,top
C31,93.599,-45.085,-90,top
C32,107.5944,-72.3646,90,top
C3,131.318,-35.24,90,top
C4,115.518,-100.46,-90,top
C5,121.568,-107.01,180,top
C6,68.5,-42.5,180,top
C7,80,-37.25,-90,top
C8,61,-48.5,90,top
D1,61.2,-68.1,-90,top
D2,79,-65.51,180,top
F1,76,-31.5,0,top
H2,170.79,-76.13,0,top
J11,108.8,-25.6,90,top
J12,111,-64.5,90,top
J13,163,-70.5,0,top
J14,171.5,-79.5,-90,top
J15,115.5,-60.5,0,top
J2,83.25,-65.25,90,top
J3,170.5,-67,0,top
J4,117.8,-25.6,0,top
J5,86.182,-69.118,-90,bottom
J6,126.5,-51.5,180,top
J8,54.4,-77.4,0,top
Q1,76.5,-35,0,top
Q2,71.7,-33.6,90,top
Q3,80.79,-32.75,90,top
R1,86.106,-52,-90,top
R10,90.106,-50.3,0,top
R11,91.19,-28.83,180,top
R12,91.19,-30.53,180,top
R13,67.7,-34.7,180,top
R14,91.19,-32.23,0,top
R15,91.9,-26.3,-90,top
R16,93,-38,90,top
R18,117.3,-39.4,0,top
R19,90.106,-51.5,0,top
R2,86.606,-50.3,180,top
R20,103,-38,0,top
R21,103,-37,0,top
R24,90.106,-52.7,0,top
R25,90.106,-53.9,0,top
R3,115.518,-96.51,90,top
R4,125.6055,-107.01,0,top
R5,72.4125,-42.5,0,top
R6,61,-52.5,-90,top
R7,88.356,-50.8,90,top
R8,88.356,-52.9,90,top
R9,87.056,-54.5,90,top
RV1,85.99,-36.13,180,bottom
RV2,135.99,-36.13,180,bottom
S1,97.5,-32.5,-90,top
SW1,152.24,-51.08,0,top
SW10,88.69,-73.18,-90,top
SW11,96.64,-81.13,180,top
SW12,88.69,-89.08,-90,top
SW2,137.04,-58.78,41,top
SW3,166.54,-47.68,12,top
SW4,148.24,-36.98,-63,top
SW5,110.99,-51.18,0,top
SW6,50.75,-60,0,bottom
SW7,170.815,-61.595,0,bottom
SW8,161.141443,-35.505,-30,top
SW9,80.74,-81.13,180,top
U1,86.2,-40.8,-90,top
U10,69.350935,-59.811215,-93,top
U11,78.475,-51.575,-3,top
U2,69.795083,-51.128232,177,top
U3,109.518,-77.41,0,top
U4,123.716,-89.91,90,top
U5,123.701,-94.594552,-90,top
U6,54.9,-68.8,180,top
U7,97,-48,0,top
U8,110,-39,90,top
U9,132.418,-98.61,0,top
Y1,120.9,-40.65,180,top
